 SNOWMELT TRANSIENT SUMMARY: OUTLET TEMPERATURE

   TIME (SEC)     PIPE 1      PIPE 2      PIPE 3      PIPE 4      PIPE 5      PIPE 6      PIPE 7      PIPE 8

   0.00000        20.0        20.0        20.0        20.0        20.0        20.0        20.0        20.0    
   60.0000        18.6        18.6        20.0        20.0        20.0        20.0        20.0        20.0    
   120.000        16.7        16.7        20.0        20.0        20.0        20.0        20.0        20.0    
   180.000        14.8        14.8        20.0        20.0        20.0        20.0        20.0        20.0    
   240.000        12.9        12.9        20.0        20.0        20.0        20.0        20.0        20.0    
   300.000        11.0        11.0        20.0        20.0        19.9        20.0        19.9        20.0    
   360.000        9.11        9.11        20.0        20.0        19.8        20.0        19.6        20.0    
   420.000        7.21        7.21        20.0        20.0        19.4        20.0        19.3        20.0    
   480.000        5.31        5.31        20.0        20.0        18.9        20.0        18.6        20.0    
   540.000        3.41        3.41        20.0        20.0        18.1        20.0        17.8        20.0    
   600.000        1.51        1.51        20.0        20.0        17.0        20.0        16.7        20.0    
   660.000        1.02        1.02        20.0        20.0        15.7        20.0        15.4        20.0    
   720.000        1.02        1.02        20.0        20.0        14.0        20.0        13.8        20.0    
   780.000        1.02        1.02        20.0        20.0        12.6        20.0        12.4        20.0    
   840.000        1.02        1.02        20.0        20.0        10.8        20.0        10.7        20.0    
   900.000        1.02        1.02        20.0        20.0        9.13        20.0        9.09        20.0    
   960.000        1.02        1.02        19.9        19.9        7.52        20.0        7.57        20.0    
   1020.00        1.02        1.02        19.8        19.8        6.17        20.0        6.30        19.9    
   1080.00        1.02        1.02        19.6        19.6        4.80        20.0        5.01        19.9    
   1140.00        1.02        1.02        19.4        19.4        3.77        20.0        4.01        19.8    
   1200.00        1.02        1.02        19.1        19.1        2.96        19.9        3.22        19.7    
   1260.00        1.02        1.02        18.6        18.6        2.35        19.9        2.59        19.5    
   1320.00        1.02        1.02        18.0        18.0        1.90        19.8        2.13        19.4    
   1380.00        1.02        1.02        17.3        17.3        1.59        19.7        1.78        19.2    
   1440.00        1.02        1.02        16.4        16.5        1.38        19.5        1.53        18.9    
   1500.00        1.02        1.02        15.5        15.5        1.24        19.3        1.36        18.6    
   1560.00        1.02        1.02        14.4        14.4        1.15        19.0        1.24        18.2    
   1620.00        1.02        1.02        13.2        13.2        1.10        18.7        1.16        17.8    
   1680.00        1.02        1.02        12.0        12.0        1.07        18.3        1.11        17.3    
   1740.00        1.02        1.02        10.8        10.8        1.05        17.8        1.08        16.7    
   1800.00        1.02        1.02        9.55        9.55        1.04        17.2        1.06        16.1    
   1860.00        1.02        1.02        8.38        8.38        1.03        16.6        1.04        15.5    
   1920.00        1.02        1.02        7.27        7.28        1.03        15.8        1.04        14.8    
   1980.00        1.02        1.02        6.25        6.26        1.02        15.1        1.03        14.1    
   2040.00        1.02        1.02        5.32        5.33        1.02        14.2        1.03        13.4    
   2100.00        1.02        1.02        4.51        4.52        1.02        13.4        1.02        12.6    
   2160.00        1.02        1.02        3.82        3.82        1.02        12.5        1.02        11.9    
   2220.00        1.02        1.02        3.23        3.23        1.02        11.5        1.02        11.1    
   2280.00        1.02        1.02        2.74        2.74        1.02        10.6        1.02        10.4    
   2340.00        1.02        1.02        2.34        2.34        1.02        9.71        1.02        9.62    
   2400.00        1.02        1.02        2.02        2.02        1.02        8.84        1.02        8.91    
   2460.00        1.02        1.02        1.76        1.77        1.02        8.01        1.02        8.23    
   2520.00        1.02        1.02        1.57        1.57        1.02        7.21        1.02        7.57    
   2580.00        1.02        1.02        1.42        1.42        1.02        6.47        1.02        6.95    
   2640.00        1.02        1.02        1.31        1.31        1.02        5.78        1.02        6.36    
   2700.00        1.02        1.02        1.22        1.23        1.02        5.15        1.02        5.81    
   2730.00        1.02        1.02        1.19        1.19        1.02        4.85        1.02        5.55    
